Categoria: Tutte le categorie

Paese,"AI: (18/08/25, 18:15 - 19/08/25, 18:15)"
Tuvalu,
Isole Falkland (Isole Malvine),
Isole Salomone,
Vanuatu,
Papua Nuova Guinea,
Samoa,
Micronesia,
Bhutan,
Cina,100
Kiribati,
Tonga,
Botswana,
Etiopia,80
Sri Lanka,78
Samoa Americane,
Vietnam,76
Myanmar (Birmania),
Filippine,73
Figi,
Corea del Sud,70
Namibia,
Eswatini,
Timor Est,
Pakistan,67
Zimbabwe,
Nepal,64
Singapore,63
Bangladesh,61
Ghana,60
Sud Sudan,
Dominica,
Lesotho,
Kenya,54
India,54
Cambogia,53
Laos,
Isole Vergini Britanniche,
Mauritius,
Maldive,
Sierra Leone,
Isole Marianne Settentrionali,
Hong Kong,50
Emirati Arabi Uniti,50
Nigeria,50
Malaysia,50
Saint Vincent e Grenadine,
Indonesia,49
Brunei,
Ruanda,
Sudafrica,46
Somalia,
Belize,
Madagascar,
Trinidad e Tobago,
Burundi,
Saint Lucia,
Palau,
Nuova Zelanda,42
Liberia,
Romania,41
Australia,41
Giamaica,
Benin,
Thailandia,39
Guyana,
Zambia,
Togo,
Mongolia,
Bahrein,
Libano,
Qatar,
Macao,
Taiwan,36
Antigua e Barbuda,
Camerun,
Seychelles,
Stati Uniti,35
Grenada,
Italia,35
Tanzania,
Malawi,
Guam,
Isole Vergini Americane,
Malta,
Suriname,
Israele,31
Uganda,
Marocco,31
Sahara Occidentale,
San Marino,
Canada,30
Isole Cayman,
Guernsey,
Jersey,
Gibuti,
Bermuda,
Regno Unito,29
Curaçao,
Oman,
Palestina,
Macedonia del Nord,
Burkina Faso,
Irlanda,27
Bahamas,
Saint Kitts e Nevis,
Gabon,
Svezia,26
Kuwait,
Paesi Bassi,26
Bolivia,
Tunisia,
Cipro,
Isola di Man,
Costa d’Avorio,
Congo-Brazzaville,
Sint Maarten,
Aruba,
Giordania,
Giappone,25
Lussemburgo,
Estonia,
Danimarca,25
Barbados,
Egitto,24
Svizzera,24
Albania,
Senegal,
Portorico,
Isole Turks e Caicos,
Armenia,
Moldavia,
Angola,
Norvegia,22
Georgia,
Cechia,22
Belgio,22
Perù,22
Gambia,
Kosovo,
Isole Fær Øer,
Islanda,
Gibilterra,
Costa Rica,
Lettonia,
Slovenia,
Lituania,
Panama,
Ecuador,20
Ungheria,20
Mozambico,
Afghanistan,
Grecia,20
Uzbekistan,
Isole Åland,
Algeria,20
Finlandia,20
El Salvador,
Caraibi Olandesi,
Sant’Elena,
Comore,
Portogallo,19
Arabia Saudita,18
Haiti,
Iraq,
Slovacchia,
Nuova Caledonia,
Azerbaigian,
Guinea,
Serbia,
Polinesia Francese,
Croazia,
Liechtenstein,
Honduras,
Polonia,17
Congo - Kinshasa,
Martinica,
Ciad,
Colombia,17
Montenegro,
Bosnia ed Erzegovina,
Bulgaria,
Yemen,
Andorra,
Niger,
Austria,15
Paraguay,
Nicaragua,
Mauritania,
Mali,
Repubblica Centrafricana,
Capo Verde,
Uruguay,
Libia,
Germania,15
Groenlandia,
Brasile,14
Francia,14
Saint-Barthélemy,
Venezuela,
Repubblica Dominicana,
Riunione,
Argentina,14
Cile,14
Guadalupa,
Guyana Francese,
Guatemala,
Guinea Equatoriale,
Kazakistan,
Kirghizistan,
Messico,13
Ucraina,12
Spagna,11
Siria,
Cuba,
Sudan,
Guinea-Bissau,
Turchia,10
Tagikistan,
Russia,9
Turkmenistan,
Bielorussia,
Iran,9
Isola Norfolk,
Mayotte,
Antartide,
Isole Marshall,
Tokelau,
São Tomé e Príncipe,
Saint-Pierre e Miquelon,
Svalbard e Jan Mayen,
Georgia del Sud e Sandwich Australi,
Montserrat,
Isole Minori Esterne degli Stati Uniti,
Isole Heard e McDonald,
Monaco,
Isole Cook,
Città del Vaticano,
Isole Cocos (Keeling),
Corea del Nord,
Isole Pitcairn,
Saint Martin,
Isola Christmas,
Territorio Britannico dell’Oceano Indiano,
Wallis e Futuna,
Anguilla,
Nauru,
Niue,
Isola Bouvet,
Eritrea,
Terre Australi Francesi,
